feature,type,mutable,min,max
loan_amnt,float64,TRUE,1000,40000
term,int64,TRUE,36,60
int_rate,float64,FALSE,5.31,30.99
installment,float64,TRUE,4.93,1719.83
grade,int64,FALSE,1,7
emp_length,float64,TRUE,0,10
annual_inc,float64,TRUE,33,10999200
issue_d,int64,FALSE,201203,201812
dti,float64,TRUE,-1,999
earliest_cr_line,int64,FALSE,193404,201510
open_acc,float64,TRUE,1,90
pub_rec,float64,FALSE,0,86
revol_bal,float64,TRUE,0,2904836
revol_util,float64,TRUE,0,892.3
total_acc,float64,TRUE,2,176
mort_acc,float64,TRUE,0,51
pub_rec_bankruptcies,float64,FALSE,0,12
fico_score,float64,FALSE,662,847.5
initial_list_status_w,uint8,FALSE,0,1
application_type_Joint App,uint8,TRUE,0,1
ratio_loan_amnt_annual_inc,float64,TRUE,0.000171429,310.6060606
ratio_open_acc_total_acc,float64,TRUE,0.024390244,1
diff_issue_d_earliest_cr_line,float64,FALSE,36,999
ratio_pub_rec_diff_issue_d_earliest_cr_line,float64,FALSE,0,0.495934959
ratio_pub_rec_bankruptcies_diff_issue_d_earliest_cr_line,float64,FALSE,0,0.090909091
ratio_pub_rec_bankruptcies_pub_rec,float64,FALSE,-1,1
home_ownership_MORTGAGE,uint8,FALSE,0,1
home_ownership_OTHER,uint8,FALSE,0,1
home_ownership_OWN,uint8,FALSE,0,1
home_ownership_RENT,uint8,FALSE,0,1
verification_status_Not Verified,uint8,FALSE,0,1
verification_status_Source Verified,uint8,FALSE,0,1
verification_status_Verified,uint8,FALSE,0,1
purpose_car,uint8,TRUE,0,1
purpose_credit_card,uint8,TRUE,0,1
purpose_debt_consolidation,uint8,TRUE,0,1
purpose_educational,uint8,TRUE,0,1
purpose_home_improvement,uint8,TRUE,0,1
purpose_house,uint8,TRUE,0,1
purpose_major_purchase,uint8,TRUE,0,1
purpose_medical,uint8,TRUE,0,1
purpose_moving,uint8,TRUE,0,1
purpose_other,uint8,TRUE,0,1
purpose_renewable_energy,uint8,TRUE,0,1
purpose_small_business,uint8,TRUE,0,1
purpose_vacation,uint8,TRUE,0,1
purpose_wedding,uint8,TRUE,0,1
charged_off,int64,FALSE,0,1
